업소명,민박업소형태,주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태
연남끝 그리고 시작,외국인관광도시민박업,"서울특별시 마포구 동교로51길 115, 4층 (연남동)",CDFI2262212023000097,2023-07-25,영업/정상(영업중)
가온,외국인관광도시민박업,"서울특별시 마포구 동교로 179-5, 2층 (동교동)",CDFI2262212022000009,2022-03-04,영업/정상(영업중)
낙원하우스,외국인관광도시민박업,"서울특별시 마포구 백범로17길 47-6, 1층 (대흥동)",CDFI2262212023000109,2023-08-17,영업/정상(영업중)
마포레스트301,외국인관광도시민박업,"서울특별시 마포구 방울내로 57-14, 301호 (망원동)",CDFI2262212024000164,2024-07-11,영업/정상(영업중)
포시즌하우스,외국인관광도시민박업,"서울특별시 마포구 월드컵로5길 39-5, 지하1층 (합정동)",CDFI2262212023000099,2023-08-01,영업/정상(영업중)
훤게스트하우스,외국인관광도시민박업,"서울특별시 마포구 연남로3길 22-15, 201호 (연남동)",CDFI2262212023000107,2023-08-16,영업/정상(영업중)
프라이빗 하우스,외국인관광도시민박업,"서울특별시 마포구 방울내로 67, 4층 (망원동)",CDFI2262212023000096,2023-07-25,영업/정상(영업중)
YS 하우스,외국인관광도시민박업,"서울특별시 마포구 독막로6길 34, 지하1층 B101호 (합정동)",CDFI2262212019000126,2019-10-21,영업/정상(영업중)
호미 게스트하우스,외국인관광도시민박업,서울특별시 마포구 고산2길 10 (노고산동),CDFI2262212020000019,2020-03-02,영업/정상(영업중)
아우어하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로37길 15, 1층 (동교동)",CDFI2262212023000005,2023-01-31,영업/정상(영업중)
Hongdae Cozy Stay,외국인관광도시민박업,"서울특별시 마포구 와우산로13길 9, 301호 (상수동)",CDFI2262212020000004,2020-01-13,영업/정상(영업중)
사브리나 인 연남,외국인관광도시민박업,서울특별시 마포구 성미산로15길 58-12 (연남동),CDFI2262212024000208,2024-08-09,영업/정상(영업중)
세컨드 홈,외국인관광도시민박업,"서울특별시 마포구 양화진4길 6, 4층 (합정동)",CDFI2262212023000064,2023-06-02,영업/정상(영업중)
