업소명,민박업소형태,주소,지번주소,지방행정데이터인허가번호,지방행정데이터인허가일자,영업상태,latitude,longitude,coord_duplicate_count
딸기핑크게스트하우스,외국인관광도시민박업,"서울특별시 마포구 동교로30길 22, 201호 (동교동, 삼성하이빌)",서울 마포구 동교동 150-10,CDFI3261142015000074,2015-10-26,영업/정상(영업중),37.5600483800933,126.924901921995,4
제나스위트 강남,외국인관광도시민박업,"서울특별시 강남구 논현로175길 59-4, 4,5층 (신사동, 의봉빌딩)",서울 강남구 신사동 550-12,CDFI3261142015000028,2015-10-20,영업/정상(영업중),37.5240673844896,127.024120825888,2
게스트하우스 더힐2,외국인관광도시민박업,서울특별시 중구 퇴계로20나길 27 (예장동),서울 중구 예장동 8-67,CDFI3261142015000018,2015-09-02,영업/정상(영업중),37.5578554486175,126.9854002801,2
허니비즈하우스,외국인관광도시민박업,"서울특별시 마포구 신촌로2안길 40, 102호 (동교동)",서울 마포구 동교동 177-6,CDFI3261142015000089,2015-12-18,영업/정상(영업중),37.5568078429449,126.929109979547,4
RO inhome,외국인관광도시민박업,서울특별시 마포구 동교로 105 (서교동),서울 마포구 서교동 478-7,CDFI3261142015000091,2015-12-23,영업/정상(영업중),37.5547783836826,126.91373234964,2
쉼표 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 동교로38길 27, 2층 (연남동)",서울 마포구 연남동 390-25,CDFI3261142015000087,2015-12-14,영업/정상(영업중),37.5617397985364,126.925577850019,2
DW Design Residence 3,외국인관광도시민박업,"서울특별시 마포구 동교로25길 35, 1,2층 (동교동)",서울 마포구 동교동 203-47,CDFI3261142015000093,2015-12-29,영업/정상(영업중),37.5584022265547,126.920584030172,4
뷰티인게스트하우스,외국인관광도시민박업,"서울특별시 강남구 언주로 406, 35동 807호 (역삼동, 개나리아파트)",서울 강남구 논현동 279-23,CDFI3261142015000034,2015-12-28,영업/정상(영업중),37.5208061,127.0342764,2
ODD Guesthouse,외국인관광도시민박업,"서울특별시 서대문구 신촌로1길 48, 302호 (창천동)",서울 서대문구 창천동 341,CDFI3261142015000020,2015-11-26,영업/정상(영업중),37.5597616322869,126.928894742543,2
Meet seoul,외국인관광도시민박업,"서울특별시 마포구 창전로 45, 103동 702호 (창전동, 서강한화오벨리스크)",서울 마포구 창전동 442,CDFI3261142015000086,2015-12-11,영업/정상(영업중),37.5468832250067,126.931961062749,2
프랜드인서울(Friend in Seoul),외국인관광도시민박업,"서울특별시 종로구 자하문로7길 28-5, 1층 (통인동)",서울 종로구 통인동 149-1,CDFI3261142015000008,2015-08-25,영업/정상(영업중),37.5791193897396,126.970796334076,2
훤 게스트하우스,외국인관광도시민박업,"서울특별시 마포구 연남로3길 22-15, 201호 (연남동)",서울 마포구 연남동 561-47,CDFI3261142015000088,2015-12-15,영업/정상(영업중),37.5614561277635,126.920677559725,2
케이 게스트하우스 엔 서울타워 1,외국인관광도시민박업,서울특별시 중구 퇴계로26길 9 (남학동),서울 중구 남학동 24-1,CDFI3261142015000029,2015-12-30,영업/정상(영업중),37.5605474247496,126.990465626444,2
DW Design Residence 2,외국인관광도시민박업,"서울특별시 마포구 동교로25길 35, 지층 (동교동)",서울 마포구 동교동 203-47,CDFI3261142015000092,2015-12-29,영업/정상(영업중),37.5584022265547,126.920584030172,4
퍼즐스테이(Puzzlestay),외국인관광도시민박업,서울특별시 성북구 솔샘로7길 40 (정릉동),서울 성북구 정릉동 715-6,CDFI3261142015000006,2015-12-15,영업/정상(영업중),37.6114323808472,127.004561358429,3
퍼즐스테이,외국인관광도시민박업,서울특별시 성북구 솔샘로7길 40 (정릉동),서울 성북구 정릉동 715-6,CDFI3261142015000007,2015-12-15,영업/정상(영업중),37.6114323808472,127.004561358429,3
그린빌라트,외국인관광도시민박업,"서울특별시 강남구 논현로159길 39, 402호 (신사동)",서울 강남구 신사동 553-5,CDFI3261142015000031,2015-12-09,영업/정상(영업중),37.5222131721199,127.025172161007,2
부원게스트하우스,외국인관광도시민박업,"서울특별시 마포구 와우산로29라길 17, 3층 (서교동)",서울 마포구 서교동 334-35,CDFI3261142015000085,2015-12-11,영업/정상(영업중),37.5550035376085,126.927237209888,2
